S.no,Name,Type,Weaknesses,Height,Weight,Gender,Category
#0001,Bulbasaur,Grass/Poison,Fire/Ice/Flying/Psychic,0.7 m,6.9 kg,male/female,Seed
#0002,Ivysaur,Grass/Poison,Fire/Ice/Flying/Psychic,1 m,13 kg,male/female,Seed
#0003,Venusaur,Grass/Poison,Fire/Ice/Flying/Psychic,2 m,100 kg,male/female,Seed
#0004,Charmander,Fire,Water/Ground/Rock,0.6 m,8.5 kg,male/female,Lizard
#0005,Charmeleon,Fire,Water/Ground/Rock,1.1 m,19 kg,male/female,Flame
#0006,Charizard,Fire/Flying,Water/Electric/Rock,1.7 m,90.5 kg,male/female,Flame
#0007,Squirtle,Water,Electric/Grass,0.5 m,9 kg,male/female,Tiny Turtle
#0008,Wartortle,Water,Electric/Grass,1 m,22.5 kg,male/female,Turtle
#0009,Blastoise,Water,Electric/Grass,1.6 m,85.5 kg,male/female,Shellfish
#0010,Caterpie,Bug,Fire/Flying/Rock,0.3 m,2.9 kg,male/female,Worm
#0011,Metapod,Bug,Fire/Flying/Rock,0.7 m,9.9 kg,male/female,Cocoon
#0012,Butterfree,Bug/Flying,Fire/Electric/Ice/Flying/Rock,1.1 m,32 kg,male/female,Butterfly
#0013,Weedle,Bug/Poison,Fire/Flying/Psychic/Rock,0.3 m,3.2 kg,male/female,Hairy Bug
#0014,Kakuna,Bug/Poison,Fire/Flying/Psychic/Rock,0.6 m,10 kg,male/female,Cocoon
#0015,Beedrill,Bug/Poison,Fire/Flying/Psychic/Rock,1 m,29.5 kg,male/female,Poison Bee
#0016,Pidgey,Normal/Flying,Electric/Ice/Rock,0.3 m,1.8 kg,male/female,Tiny Bird
#0017,Pidgeotto,Normal/Flying,Electric/Ice/Rock,1.1 m,30 kg,male/female,Bird
#0018,Pidgeot,Normal/Flying,Electric/Ice/Rock,1.5 m,39.5 kg,male/female,Bird
#0019,Rattata,Normal,Fighting,0.3 m,3.5 kg,male/female,Mouse
#0020,Raticate,Normal,Fighting,0.7 m,18.5 kg,male/female,Mouse
#0021,Spearow,Normal/Flying,Electric/Ice/Rock,0.3 m,2 kg,male/female,Tiny Bird
#0022,Fearow,Normal/Flying,Electric/Ice/Rock,1.2 m,38 kg,male/female,Beak
#0023,Ekans,Poison,Ground/Psychic,2 m,6.9 kg,male/female,Snake
