S.no,Name,Evolves From,Evolves To,Evolution Method
#0001,Bulbasaur,,Ivysaur,Level 16
#0002,Ivysaur,Bulbasaur,Venusaur,Level 32
#0003,Venusaur,Ivysaur,,
#0004,Charmander,,Charmeleon,Level 16
#0005,Charmeleon,Charmander,Charizard,Level 36
#0006,Charizard,Charmeleon,,
#0007,Squirtle,,Wartortle,Level 16
#0008,Wartortle,Squirtle,Blastoise,Level 36
#0009,Blastoise,Wartortle,,
#0010,Caterpie,,Metapod,Level 7
#0011,Metapod,Caterpie,Butterfree,Level 10
#0012,Butterfree,Metapod,,
#0013,Weedle,,Kakuna,Level 7
#0014,Kakuna,Weedle,Beedrill,Level 10
#0015,Beedrill,Kakuna,,
#0016,Pidgey,,Pidgeotto,Level 18
#0017,Pidgeotto,Pidgey,Pidgeot,Level 36
#0018,Pidgeot,Pidgeotto,,
#0019,Rattata,,Raticate,Level 20
#0020,Raticate,Rattata,,
#0021,Spearow,,Fearow,Level 20
#0022,Fearow,Spearow,,
#0023,Ekans,,Arbok,Level 22
#0024,Arbok,Ekans,,
#0025,Pikachu,Pichu,Raichu,Thunder Stone
#0026,Raichu,Pikachu,,
#0027,Sandshrew,,Sandslash,Level 22
#0028,Sandslash,Sandshrew,,
#0029,Nidoran♀,,Nidorina,Level 16
#0030,Nidorina,Nidoran♀,Nidoqueen,Moon Stone
#0031,Nidoqueen,Nidorina,,
#0032,Nidoran♂,,Nidorino,Level 16
#0033,Nidorino,Nidoran♂,Nidoking,Moon Stone
#0034,Nidoking,Nidorino,,
#0035,Clefairy,Cleffa,Clefable,Moon Stone
#0036,Clefable,Clefairy,,
#0037,Vulpix,,Ninetales,Fire Stone
#0038,Ninetales,Vulpix,,
#0039,Jigglypuff,Igglybuff,Wigglytuff,Moon Stone
#0040,Wigglytuff,Jigglypuff,,
#0041,Zubat,,Golbat,Level 22
#0042,Golbat,Zubat,Crobat,High Friendship
#0043,Oddish,,Gloom,Level 21
#0044,Gloom,Oddish,Vileplume,Leaf Stone
#0045,Vileplume,Gloom,,
#0046,Paras,,Parasect,Level 24
#0047,Parasect,Paras,,
#0048,Venonat,,Venomoth,Level 31
#0049,Venomoth,Venonat,,
#0050,Diglett,,Dugtrio,Level 26
#0051,Dugtrio,Diglett,,
#0052,Meowth,,Persian,Level 28
#0053,Persian,Meowth,,
#0054,Psyduck,,Golduck,Level 33
#0055,Golduck,Psyduck,,
#0056,Mankey,,Primeape,Level 28
#0057,Primeape,Mankey,,
#0058,Growlithe,,Arcanine,Fire Stone
#0059,Arcanine,Growlithe,,
#0060,Poliwag,,Poliwhirl,Level 25
#0061,Poliwhirl,Poliwag,Poliwrath,Water Stone
#0062,Poliwrath,Poliwhirl,,
#0063,Abra,,Kadabra,Level 16
#0064,Kadabra,Abra,Alakazam,Trade
#0065,Alakazam,Kadabra,,
#0066,Machop,,Machoke,Level 28
#0067,Machoke,Machop,Machamp,Trade
#0068,Machamp,Machoke,,
#0069,Bellsprout,,Weepinbell,Level 21
#0070,Weepinbell,Bellsprout,Victreebel,Leaf Stone
#0071,Victreebel,Weepinbell,,
#0072,Tentacool,,Tentacruel,Level 30
#0073,Tentacruel,Tentacool,,
#0074,Geodude,,Graveler,Level 25
#0075,Graveler,Geodude,Golem,Trade
#0076,Golem,Graveler,,
#0077,Ponyta,,Rapidash,Level 40
#0078,Rapidash,Ponyta,,
#0079,Slowpoke,,Slowbro,Level 37
#0080,Slowbro,Slowpoke,,
#0081,Magnemite,,Magneton,Level 30
#0082,Magneton,Magnemite,Magnezone,Thunder Stone
#0083,Farfetch'd,,,
#0084,Doduo,,Dodrio,Level 31
#0085,Dodrio,Doduo,,
#0086,Seel,,Dewgong,Level 34
#0087,Dewgong,Seel,,
#0088,Grimer,,Muk,Level 38
#0089,Muk,Grimer,,
#0090,Shellder,,Cloyster,Water Stone
#0091,Cloyster,Shellder,,
#0092,Gastly,,Haunter,Level 25
#0093,Haunter,Gastly,Gengar,Trade
#0094,Gengar,Haunter,,
#0095,Onix,,Steelix,Trade while holding Metal Coat
#0096,Drowzee,,Hypno,Level 26
#0097,Hypno,Drowzee,,
#0098,Krabby,,Kingler,Level 28
#0099,Kingler,Krabby,,
#0100,Voltorb,,Electrode,Level 30
#0101,Electrode,Voltorb,,
#0102,Exeggcute,,Exeggutor,Leaf Stone
#0103,Exeggutor,Exeggcute,,
#0104,Cubone,,Marowak,Level 28
